ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY
135,Rain,Pioggia,,,
136,Rosary,Rosario,,,
137,Rosary bead,Grano del Rosario,,,
138,Rose,Rosa,,,
139,Organic waste,Rifiuti organici,,,
140,Sachet,Bustina,,,
141,Scented bead,Perlina profumata,,,
142,Scent bottle,Bottiglia porta-profumo,Bottiglia di profumo,,
143,scent box,Scatola porta-profumo,Scatola di profumo,,
144,,,,,
145,Excrement,Escremento,"Feci, Cacca, Merda, Deiezione, Sterco, Popò",,
146,Skunk,Puzzola,Moffetta,,
147,Smoke,Fumo,,,
148,Smelling Bottle,Bottiglia di sali,Bottiglia dei sali,,
149,Smelling Box,,,,
150,Smelling Salts,Sali,,,
151,Snuff Box,Tabacchiera,,,
152,Soap,Sapone,,,
153,Sperm Whale,Capodoglio,Ambra grigia,,
154,Spikenard,Olio di nardo,,,
155,Spirit,Distillato,Acquavite,,
156,Stable,Stalla,Scuderia,,
157,Steam Train,Treno a vapore,,,
158,,,,,
159,Talc,Talco,,,
160,Tallow,Sego,,,
161,Tea,Tè,"The, Thè",,
162,Tussie Mussie,Mazzolino,,,
163,Vial,Fiala,,,
164,Vinaigrette,,,,
165,Vinegar,Aceto,,,
166,Vomit,Vomito,"Rigurgito, Rigetto",,
167,Wax,Cera,,,
168,Wig,Parrucca,,,
169,Wine,Vino,,,
170,Iris,Iris,Giaggiolo,,
171,Jonquil,Giunchiglia,,,
172,Patchouli,Patchouli,,,
173,<Sillage>,Sillage,Scia,,
174,Alembic,Alambicco,,,
175,Lily-of-the-valley,Mughetto,,,
176,Laundry,Bucato,,,
177,Spice,Spezie,,,
178,Seafood,Frutto di mare,,,
179,Oil lamp,Lampada ad olio,,,
180,Meat,Carne,,,
181,Sausage,Salsiccia,,,
182,Ham,Prosciutto,,,
183,Stew,Stufato,"Spezzatino, Brasato",,
184,Poultry,Pollame,,,
185,Porridge,Porridge,,,
186,Pancake,Pancake,,,
187,Pie,Pie,,,
188,Pig,Maiale,Porco,,
189,Horse,Cavallo,,,
190,Cow,Mucca,"Bue, Vitello, Bovino, Manzo",,
191,Bull,Toro,,,
192,(Male) goat,Becco,"Capro, caprone, Irco",,
193,Sheep,Pecora,"Montone, Agnello, Ariete,",,
194,Chicken,Pollo,"Gallo, Gallina, Pulcino, Cappone",,
195,Pigeon,Piccione,,,
196,Pigeon manure,Cacca di piccione,,,
197,Labdanum,Labdano,,,
198,Sea,Mare,,,
199,Lake,Lago,,,
200,Tree,Albero,,,
201,Lime blossom tree,Tiglio,,,
202,Sandalwood,Sandalo (albero),,,
203,Benzoin,Resina di benzoino,"Benzoino, Resina di stirace",,
204,Tolu balm,Balsamo del Tolù,,,
205,Peru balm,Balsamo del Perù,,,
206,Vanilla,Vaniglia,,,
207,Castoreum,Castoreo,Castorio,,
208,Coumarin,Cumarina,,,
209,Meadow sweet,Olmaria,,,
210,Strewing herb,Erba aromatica,,,
211,Balm,Balsamo,,,
212,Calamus,Calamo aromatico ,Canna odorosa,,
213,mace,Macis,,,
214,cloves,Chiodi di Garofano,,,
215,Cinnamon,Cannella,,,
216,gunpowder,Polvere da sparo,,,
217,styrax,Styrax,,,
218,oak,Quercia,,,
219,ylang ylang,Ilang-ilang,Ylang-ylang,,
220,opoponax,Opopanace,,,
221,acacia,Acacia,,,
222,galbanum,Galbano,,,
223,violet,Violetta,,,
224,orris root,Radice di iris,,,
225,gum tragacanth,Gomma adragante,Gomma da tragacanto,,
226,hyacinth,Giacinto,,,
227,Tobacco,Tabacco,,,
228,Aqua mirabilis,Aqua Mirabilis,,,
229,Theriaca,Teriaca,,,
230,Tar,Catrame,"Bitume, Asfalto",,
231,Juniper,Ginepro,Bacca di Ginepro,,
232,Laurel,Alloro,Lauro,,
233,Leather,Cuoio,,,
234,myrtle,Mirto,,,
235,mint,Menta,,,
236,orchid,Orchidea,,,
237,Tuberose,Polianthes Tuberosa,,,
238,filth,Sporcizia,"Sudiciume, Lordura, Sporco, Laidezza, Laidume, Lerciume, Lordume, Luridume, Sozzeria, Sozzume, Sozzura",,
239,Acacia farnesiana,Acacia farnesiana,,,
240,chamber pot,Vaso da notte,,,
241,gangreen,Cancrena,,,
242,sulphur,Zolfo,Solfo,,
243,sulphuric acid,Acido sulfurico,,,
244,mustard gas,Iprite,Gas mostarda,,
245,wet earth,Terra bagnata,,,
246,petrichor,Petricore,,,
247,ozone,Ozono,,,
248,Carbolic acid,Fenolo,Acido fenico,,
249,peat,Torba,,,
250,peonie,Peonia,,,
251,Incense bowl,Ciotola d'incenso,,,
252,<Boldoot>,,,,
253,Fougère,Fougère,,,
254,<contagium>,Soffio pestifero,,,
255,Raflessia,Rafflesia,,,
256,Durian,Durian,Durione,,
257,Daffodil,Narciso,,,
258,Jasmine,Gelsomino,,,
259,Resin,Resina,,,
260,Cashmere,Cashmere,,,
261,Miasma,Miasma,,,
262,Mildew,Oidio,Muffa,,
263,Mould,Muffa,,,
264,Golden altar of incense,Altare dell'incenso,Altare d'oro,,
265,iso-butyl-quinoline,Isobutil chinolina,,,
266,idoform,Iodoformio,,,
267,Frankincense,Franchincenso,,,
268,<warmoes>,,,,
269,Incense,Incenso,,,
270,Musk,Muschio,,,
271,ink,Inchiostro,,,
272,cork,Sughero,,,
273,cardboard,Cartone,,,
274,glue,Colla,,,
275,turpentine,Trementina,,,
276,rubber,Gomma,,,
277,grapefruit,Melograno,,,
278,mandarin,Mandarino,,,
279,lemongrass,Citronella,,,
280,blackcurrant,Ribes nero,Ribes,,
281,blueberry,Mirtillo,,,
282,strawberry,Fragola,,,
283,raspberry,Lampone,,,
284,rhubarb,Rabarbaro,,,
285,peach,Pesca,,,
286,plum,Prugna,,,
287,grape,Uva,,,
288,honeydew melon,Melone verde,,,
289,pineapple,Ananas,,,
290,pear,Pera,,,
291,watermelon,Cocomero,Anguria,,
292,coconut,Noce di cocco,Cocco,,
293,walnut,Noce,,,
294,hazelnut,Nocciola,,,
295,peanut,Arachide,"Spagnolette, Noccioline americane, Bagigi, Bcachetti, Caccaetti, Giapponi, Cecini",,
296,almond,Mandorla,,,
297,carrot,Carota,,,
298,aubergine,Melanzana,,,
299,pea,Pisello,,,
300,potato,Patata,,,
301,asparagus,Asparago,,,
302,chives,Erba cipollina,,,
303,leek ,Porro,,,
304,bellpepper,Peperone,,,
305,corn,Mais,"Frumentone, Formentone, Formentazzo, Granone, Grano siciliano, Grano d'India, Granoturco, Granturco, Melica, Meliga, Pollanca",,
306,horse radish,Barbaforte,"Cren, Rafano di Spagna, Rafano orientale",,
307,spring onion ,Cipollotto,,,
308,celery,Sedano,,,
309,parsnip,Pastinaca,Pastinaca sativa,,
310,olive,Oliva,,,
311,cabbage,Cavolo cappuccio,,,
312,mushroom,Fungo,,,
313,cucumber,Cetriolo,,,
314,beetroot,Barbabietola,,,
315,parsley,Prezzemolo,,,
316,cress,Crescione,,,
317,curry,Curry,,,
318,mustard  ,Senape,,,
319,chili,Peperoncino,,,
320,fenugreek,Fieno greco,Trigonella,,
321,pepper,Pepe,,,
322,Origan,Origano,,,
323,cumin,Cumino,,,
324,anise,Anice,,,
325,fennel,Finocchio,,,
326,caraway,Cumino dei prati,"Comino, Carvi, Anice dei Vosgi",,
327,dill,Aneto,,,
328,liquorice,Liquirizia,Liquerizia,,
329,woodruff,Stellina odorosa,Asperula,,
330,coriander seed,Semi di coriandolo,,,
331,coriander leaf,Foglie di coriandolo,,,
332,sage,Salvia,,,
333,lovage,Levistico,Sedano di monte,,
334,lemon balm,Melissa vera,,,
335,lemon,Limone,,,
336,cider,Sidro,,,
337,liqueur,Liquore,,,
338,milk,Latte,,,
339,cream,Panna,Crema di latte,,
340,yoghurt,Yogurt,"Yoghurt, Iogurt",,
341,egg,Uovo,,,
342,mussel,Cozza,,,
343,crustacean,Crostaceo,,,
344,honey,Miele,,,
345,beeswax,Cera d'api,,,
346,broth,Brodo,,,
347,Candy floss,Zucchero filato,,,
348,marzipan,Marzapane,Pasta reale,,
349,amaretto,Amaretto,,,
350,geranium,Geranio,"Geraneo, Giranio",,
351,geranium leaf,Foglie di geranio,"Foglie di geraneo, Foglie di giranio",,
352,blackcurrant leaf,Foglie di ribes,,,
353,elderflower,Sambuco,,,
354,rapeseed,Colza,Navone,,
355,eucalyptus,Eucalipto,,,
356,pine needle,Ago di pino,,,
357,fir needle,Ago di abete,,,
358,conifer,Conifera,,,
359,cedar (Virginia),Ginepro della Virginia,,,
360,cedar (Lebanon),Cedro (Libano),,,
361,Chamomile,Camomilla,,,
362,lilac,Lillà,,,
363,popcorn,Pop-corn,"Popcorn, Mais scoppiato",,
364,malt,Malto,,,
365,yeast,Lievito,,,
366,urine,Urina,"Orina, Piscia, Pipí",,
367,sweat,Sudore,,,
368,Semen,Sperma,"Liquido seminale, Seme",,
369,cat urine,Pipí di gatto,"Urina di gatto, Orina di gatto, Piscia di gatto",,
370,Seed,Seme,,,
371,liquid manure,Liquame,,,
372,furze,Ginestrone,Ginestra spinosa,,
373,Sulphur sticks,Bastoncini di zolfo,,,
374,Musical snuff box,Tabacchiera musicale,,,
375,whale oil,Olio di balena,,,
376,cod liver oil,Olio di fegato di merluzzo,,,
377,pollution,Inquinamento,,,
378,air pollution,Inquinamento atmosferico,Inquinamento dell'aria,,
379,wind,Vento,,,
380,sea wind,Brezza marina,Vento del mare,,
381,diesel fuel,Gasolio,"Diesel, Nafta",,
382,kerosene,Cherosene,Petrolio lampante,,
383,petroleum,Petrolio,"Oro nero, Greggio",,
384,passion flower,Passiflora,,,
385,passion fruit,Frutto della passione,Maracuja,,
386,<schlag>,,,,
387,<oiselet>,,,,
388,sassafras,Sassofrasso,Sassafrasso,,
389,musk mallow,Abelmosco,Ambretta,,
390,musk seed,Seme di abelmosco,"Seme di ambretta, Semi di ambra, Semi muschiati, Grani muschiati",,
391,Cornflower,Fiordaliso,Ciano,,
392,chamois leather,Pelle di camoscio,,,
393,fumigation,Fumigazione,,,
394,<speculaes>,Speculoos,,,
395,all spice,Pepe della Giamaica,"Pimento, Pimienta, Pepe garofanato",,
396,oud,,,,
397,onycha,,,,
398,vetiver,vetiver,,,
399,<reukwerk>,,,,
400,Florida Water,,,,
401,<Acqua della Regina>,Acqua della Regina,,,
402,Nitre plant,,,,
403,Vegetable,Verdura,,,
404,Medicine,Medicinale,"Farmaco, Medicina",,
405,Food,Cibo,,,
406,Nutmeg,Noce moscata,,,
407,Basilic,Basilico,,,
408,Rosemary,Rosmarino,,,
409,Thyme,Timo,,,
410,Root,Radice,,,
411,Goat,Capra,,,
412,Bottle,Bottiglia,,,
413,Malodor,Cattivo odore,,,
414,Saffron,Zafferano,,,
415,Lavender,Lavanda,,,
416,Book,Libro,,,
417,Air,Aria,,,
418,Slurry,,,,
419,Stapelia,Stapelia,,,
420,Aceltene,,,,
421,Tagetes,,,,
422,Mandrake,Mandragora,Mandragola,,
423,Wormwood,Assenzio,,,
424,Ammonia,Ammoniaca,,,
425,Magnolia,Magnolia,,,
426,Lignum Aquilae,,,,
427,Asa Foetida,Assafetida,Assa fetida,,
428,Grayling,Temolo,,,
429,Field wormwood,Assenzio di campo,,,
430,Acetic acid,Acido acetico,,,
431,Amber,Ambra,,,
432,Ambergris,Ambra grigia,,,
433,Asphalt,Asfalto,Bitume,,
434,Henbane,Giusquiamo,,,
435,Water mint,Menta d'acqua,,,
436,Brown coal,Lignite,,,
437,Neroli,Neroli,,,
438,Petunia,Petunia,,,
439,Poppy,Papavero,,,
440,Tulip,Tulipano,,,
441,Apple,Mela,,,
442,Cherry,Ciliegia,,,
443,Currant,Ribes,,,
444,Fig,Fico,,,
445,Melon,Melone,,,
446,Artichoke,Carciofo,,,
447,Pumpkin,Zucca,,,
448,Vessel,Recipiente,,,
449,Drinking glass,Bicchiere,,,
450,Glass with stem,Calice,,,
451,Glass without stem,,,,
452,Jug,Brocca,,,
453,Cup,Coppa,Tazza,,
454,Chalice,Calice (liturgia),,,
455,Wine Bottle,Bottiglia di Vino,,,
456,Carafe,Caraffa,,,
457,Coffeepot,Caffettiera,,,
458,Teapot,Teiera,,,
459,Vertebrate,Vertebrato,,,
460,Carcass,Carcass,,,
461,Bird,Uccello,,,
462,Cat,Gatto,,,
463,Donkey,Asino,,,
464,Invertebrate,Invertebrato,,,
465,Bivalve,Mollusco,,,
466,Butterfly,Farfalla,,,
467,Caterpillar,Bruco,,,
468,Fly,Mosca,,,
469,Lobster,Aragosta,,,
470,Prawn,Gambero,,,
471,Insect,Insetto,,,
472,Bracelet,Bracciale,Braccialetto,,
473,Ring,Anello,,,
474,Ashtray,Posacenere,,,
475,Gloves,Guanti,,,
476,Wood,Legno,"Legna, Corteccia",,
477,,,,,
478,,,,,
479,,,,,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
