ID,LABEL en,LABEL,SYNONYMS,DEFINITION,BIBLIOGRAPHY,NOTE
244,mustard gas,gorčični plin,iperit,,,
245,wet earth,mokra zemlja,,,,
246,petrichor,vonj po dežju,,,,
247,ozone,ozon,,,,
248,Carbolic acid,fenol ,"karbol, karbolna kislina",,,
249,peat,šota,,,,
250,peonie,potonika,,,,
251,Incense bowl,posode s kadilom,,,,
252,<Boldoot>,nizozemski parfumer Boldoot,,,,
253,Fougère,praprot ,,,,
254,<contagium>,okužba,,,,
255,Raflessia,raflesija,,,,
256,Durian,durian,,,,
257,Daffodil,narcisa,,,,
258,Jasmine,jasmin,,,,
259,Resin,smole ,,,,
260,Cashmere,kašmir ,,,,
261,Miasma,miazma,,,,
262,Mildew,plesen,,,,
263,Mould,plesen,ambigious: it might pertain to a shaped container into which you pour liquid that becomes solid in the shape of the container ,,,
264,Golden altar of incense,zlati kadilni oltar,,,,
265,iso-butyl-quinoline,izobutil kinolin,,,,
266,idoform,,,,,
267,Frankincense,sveto kadilo,,,,
268,<warmoes>,navadna pesa,blitva,,,
269,incense,kadilo  ,,,,
270,per fumum,po dimu ,,,,
271,ink,črnilo ,,,,
272,cork,plutovinast zamašek ,,,,
273,cardboard,karton ,,,,
274,glue,lepilo ,,,,
275,turpentine,terpentin ,,,,
276,rubber,guma,,,,
277,grapefruit,grenivka,,,,
278,mandarin,mandarina ,,,,
279,lemongrass,limonska trava,,,,
280,blackcurrant,črni ribez,,,,
281,blueberry,borovnica,,,,
282,strawberry,jagoda,,,,
283,raspberry,malina ,,,,
284,rhubarb,rabarbara,,,,
285,peach,breskev,,,,
286,plum,sliva,,,,
287,grape,grozdje ,,,,
288,honeydew melon,melona ,melona medene rose ,,,
289,pineapple,ananas,,,,
290,pear,hruška,,,,
291,watermelon,lubenica,,,,
292,coconut,kokos,,,,
293,walnut,oreh,,,,
294,hazelnut,lešnik,,,,
295,peanut,arašid,,,,
296,almond,mandelj,,,,
297,carrot,korenček ,korenje ,,,
298,aubergine,jajčevec,melancan (colloquial),,,
299,pea,grah,,,,
300,potato,krompir,,,,
301,asparagus,beluš,špargelj,,,
302,chives,drobnjak,,,,
303,leek ,por ,,,,
304,bellpepper,paprika,,,,
305,corn,koruza,,,,
306,horse radish,navadni hren,,,,
307,spring onion ,mlada čebula,,,,
308,celery,zelena,,,,
309,parsnip,pastinak,,,,
310,olive,oliva,,,,
311,cabbage,zelje,,,,
312,mushroom,gobe,,,,
313,cucumber,kumara,,,,
314,beetroot,rdeča pesa,,,,
315,parsley,peteršilj ,,,,
316,cress,vrtna kreša,,,,
317,curry,kari,,,,
318,mustard  ,gorčica,,,,
319,chili,čili,,,,
320,fenugreek,grško seno ,"sabljasti triplat, smiljka",,,
321,pepper,poper,,,,
322,Origan,origano,,,,
323,cumin,orientalska kumina,,,,
324,anise,janež,,,,
325,fennel,koromač,navadni komarček,,,
326,caraway,kumina,,,,
327,dill,navadni koper ,,,,
328,liquorice,sladki koren,likviricija ,,,
329,woodruff,dišeča lakota,dišeča perla ,,,
330,coriander seed,semena koriandra,,,,
331,coriander leaf,listi koriandra,,,,
332,sage,žajbelj ,,,,
333,lovage,luštrek,,,,
334,lemon balm,melisa,,,,
335,lemon,limona,,,,
336,cider,jabolčno vino,,,,
337,liqueur,liker,,,,
338,milk,mleko,,,,
339,cream,smetana,,,,
340,yoghurt,jogurt ,,,,
341,egg,jajca,,,,
342,mussel,klapavice,,,,
343,crustacean,raki,,,,
344,honey,med,,,,
345,beeswax,čebelji vosek ,,,,
346,broth,mesna juha,,,,
347,Candy floss,sladkorna pena,,,,
348,marzipan,marcipan,,,,
349,amaretto,Amaretto,,,,
350,geranium,krvomočnica,smrdljivka,,,
351,geranium leaf,list krvomočnice,,,,
352,blackcurrant leaf,list črnega ribeza,,,,
353,elderflower,bezeg,,,,
354,rapeseed,ogrščica,,,,
355,eucalyptus,evkaliptus,,,,
356,pine needle,borova iglica,,,,
357,fir needle,iglice jelke,,,,
358,conifer,borovci,,,,
359,cedar (Virginia),virginijski brin,,,,
360,cedar (Lebanon),libanonska cedra,,,,
361,Chamomile,kamilica,,,,
362,lilac,lilija,,,,
363,popcorn,pokovka,kokice,,,
364,malt,slad,,,,
365,yeast,kvas,,,,
366,urine,urin,,,,
367,sweat,pot,,,,
368,Semen,seme,sperma,,,
369,cat urine,mačji urin,,,,
370,blood,kri,,,,
371,liquid manure,gnojnica,,,,
372,furze,gorse ,,,,
373,Sulphur sticks,žveplove palčke,,,,
374,Musical snuff box,glasbena škatla z njuhancem,,,,
375,whale oil,kitovo olje,,,,
376,cod liver oil,ribje olje iz jeter polenovke,,,,
377,pollution,onesnaževanje ,,,,
378,air pollution,onesnaževanje zraka,,,,
379,wind,veter,,,,
380,sea wind,morski veter,,,,
381,diesel fuel,dizelsko gorivo,,,,
382,kerosene,kerozin,,,,
383,petroleum,nafta,,,,
384,passion flower,pasijonka,,,,
385,passion fruit,marakuja ,,,,
386,<schlag>,udarec? ,,,,
387,<oiselet>,majhen ptič? ,,,,
388,sassafras,sasafras,,,,
389,musk mallow,muškatni slezenovec,,,,
390,musk seed,semena slezenovca,,,,
391,cornflower,modri plavinec,"plavica, modriš",,,
392,chamois leather,semiš,,,,
393,fumigation,fumgacija,zaplinjevanje ,,,
394,<speculaes>,,,,,
395,all spice,začimbe,,,,
396,oud,,,,,
397,onycha,,,,,
398,vetiver,,,,,
399,<reukwerk>,,,,,
400,Florida Water,,,,,
401,<Acqua della Regina>,,,,,
402,Nitre plant,,,,,
403,Vegetable,zelenjava,,,,
404,Medicine,ydravilo,,,,
405,Food,hrana,,,,
406,Nutmeg,muškatni orešček,,,,
407,Basilic,bazilika,,,,
408,Rosemary,rožmarin,,,,
409,Thyme,timijan,materina dušica,,,
410,Root,korenina,,,,
411,Goat,koza,,,,
412,Bottle,steklenica,,,,
413,Malodor,,,,,
414,Saffron,žafran,,,,
415,Lavender,sivka,,,,
416,Book,knjiga,,,,
417,,,,,,
418,,,,,,
419,,,,,,
420,,,,,,
421,,,,,,
422,,,,,,
423,,,,,,
424,,,,,,
425,,,,,,
426,,,,,,
427,,,,,,
428,,,,,,
429,,,,,,
430,,,,,,
431,,,,,,
432,,,,,,
433,,,,,,
434,,,,,,
435,,,,,,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,,,,
440,,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,,,,
447,,,,,,
448,,,,,,
449,,,,,,
450,,,,,,
451,,,,,,
452,,,,,,
453,,,,,,
454,,,,,,
455,,,,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,,,
460,,,,,,
461,,,,,,
462,,,,,,
463,,,,,,
464,,,,,,
465,,,,,,
466,,,,,,
467,,,,,,
468,,,,,,
469,,,,,,
470,,,,,,
471,,,,,,
472,,,,,,
473,,,,,,
474,,,,,,
475,,,,,,
476,,,,,,
477,,,,,,
478,,,,,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,,,,
484,,,,,,
485,,,,,,
486,,,,,,
487,,,,,,
488,,,,,,
489,,,,,,
490,,,,,,
491,,,,,,
492,,,,,,
493,,,,,,
494,,,,,,
495,,,,,,
496,,,,,,
497,,,,,,
498,,,,,,
499,,,,,,
500,,,,,,
501,,,,,,
502,,,,,,
503,,,,,,
504,,,,,,
505,,,,,,
506,,,,,,
507,,,,,,
508,,,,,,
509,,,,,,
510,,,,,,
511,,,,,,
512,,,,,,
513,,,,,,
514,,,,,,
515,,,,,,
516,,,,,,
517,,,,,,
518,,,,,,
